,Date,User,Tweet
0,2019-12-30 22:17:17+00:00,BancoPacificoEC,"@AfectadosIECE Hola buenas tardes, por favor contáctanos por mensaje interno con mayor información, con gusto atenderemos tu consulta. VR°"
1,2019-12-30 21:15:44+00:00,BancoPacificoEC,"@albertinformafo Albert, lamentamos mucho leer lo que nos detallas y a la vez te informamos que hemos notificado tu malestar, reiteramos nuestras disculpas por el inconveniente presentado. VR°"
2,2019-12-30 20:58:05+00:00,BancoPacificoEC,"@luisberonp Hola buenas tardes, Luis, el horario de atención es de 10:00-17:00. VR°"
3,2019-12-30 20:18:52+00:00,BancoPacificoEC,"@albertinformafo Albert, comprendemos tu postura por el estado de tu reclamo; no obstante, te informamos que enviaremos la novedad al área encargada para que nos ayuden con la resolución de tu caso en la brevedad posible. VR°"
4,2019-12-30 19:34:09+00:00,BancoPacificoEC,"¡Reafirmamos nuestro compromiso con la conservación del medio ambiente! Recibimos la certificación internacional #CarbonoNeutro, otorgado por TÜV Rheinland de México, con alcance a once oficinas del Banco en Guayaquil, Quito, Manta, Cuenca y Santa Cruz. #RespiraPacífico https://t.co/zbUUTuP8Be"
5,2019-12-30 19:26:02+00:00,BancoPacificoEC,"@JeanCarloceval1 Hola buenas tardes, Jean, por favor contáctanos por mensaje interno, con gusto atenderemos tu consulta.  VR°"
6,2019-12-30 18:36:41+00:00,BancoPacificoEC,"@PabloMoriMusic Hola Pablo, buenas tardes, tu novedad será reportada con el área encargada, muchas gracias por la información. VR°"
7,2019-12-30 17:03:28+00:00,BancoPacificoEC,"@JeanCarloceval1 Jean estamos interesados en conocer lo que te ha ocurrido, por favor detállanos la novedad de forma que podamos mejor la calidad de nuestro servicio. LB°"
8,2019-12-30 16:47:45+00:00,BancoPacificoEC,@CynthiaJalonV Es un placer ayudarte. LB°
9,2019-12-30 16:47:39+00:00,BancoPacificoEC,@tyronedaniel4 Es un placer servirte. LB°
10,2019-12-30 16:47:14+00:00,BancoPacificoEC,"@CynthiaJalonV Hola, el horario de autobanco es normal excepto en la ciudad Quito. LB°"
11,2019-12-30 16:26:09+00:00,BancoPacificoEC,@Cristian_LDU91 Estamos para asistirte. LB°
12,2019-12-30 16:24:21+00:00,BancoPacificoEC,@Cristian_LDU91 Hola ℂ𝕣𝕚𝕤𝕥𝕚𝕒𝕟 🙂 el horario de atención el día de hoy es normal. LB°
13,2019-12-30 15:47:43+00:00,BancoPacificoEC,"@isnai23 Fue un placer atenderte, que tengas un excelente día. LB°"
14,2019-12-30 15:23:36+00:00,BancoPacificoEC,@BorisBallester4 Boris te informamos que hoy la atención en todas las agencias a nivel nacional es normal. LB°
15,2019-12-30 15:23:07+00:00,BancoPacificoEC,@isnai23 Andrea buenos días 🙂 el día de hoy la atención en todas las agencias a nivel nacional es normal. LB°
16,2019-12-30 14:21:20+00:00,BancoPacificoEC,@zafirotandalla Por favor escríbenos por interno para ayudarte con tu inconveniente. LB°
17,2019-12-30 14:11:21+00:00,BancoPacificoEC,"@stainedbylove Edianel, siempre es grato poder saludarte; gracias por tus comentarios y por ser parte del mejor lugar. LB°"
18,2019-12-30 14:10:41+00:00,BancoPacificoEC,"@zafirotandalla Lamentamos el malestar ocasionado Zafy, trabajaremos para mejorar el servicio de nuestra banca virtual; por favor comentaos si finalmente pudiste realizar el pago? LB°"
19,2019-12-30 13:20:32+00:00,BancoPacificoEC,"@albertinformafo @dieguito1719 @AutopistaGR Hola Albert buen día, lamentamos cualquier malestar ocasionado. Por favor facilítanos mayor información de lo sucedido por mensaje directo, para ayudarte de inmediato. MM°"
20,2019-12-30 13:19:21+00:00,BancoPacificoEC,"@kettyivonne Hola Ketty buenos días, te informamos que en estos casos el cheque ya no tiene validez. MM°"
21,2019-12-30 13:08:47+00:00,BancoPacificoEC,"@CB_luis7 Hola Luis buen día, por favor facilítanos por interno un print del mensaje que refleja al realizar la transacción, junto a tus datos personales, para ayudarte de inmediato. MM°"
22,2019-12-29 23:41:20+00:00,BancoPacificoEC,"@dieguito1719 @AutopistaGR Hola buenas tardes, por favor ayúdanos con mayor detalle de tu solicitud por mensaje interno para poder asistirte de inmediato. JD°"
23,2019-12-29 21:33:37+00:00,BancoPacificoEC,"@Toki2120 Hola buenas tardes, por favor detállanos tu consulta por mensaje interno para con gusto asistirte. JD°"
24,2019-12-29 16:41:20+00:00,BancoPacificoEC,@hwlyom Julio si estas presentando algún problema te ofrecemos disculpas además indícanos por interno tus datos para poder ayudarte. LB°
25,2019-12-29 15:00:01+00:00,BancoPacificoEC,"Recuerda que #BancoDelPacífico no solicita ni por llamadas, por correo o por sms información sensible. Si recibes llamadas sospechosas, notifícalas de inmediato. #TipsDeSeguridad https://t.co/PG2SHFEkqO"
26,2019-12-29 00:35:55+00:00,BancoPacificoEC,@kettyivonne Un gsuto servirte.   MC*
27,2019-12-28 23:01:07+00:00,BancoPacificoEC,"@kettyivonne Hola Ketty, el día de mañana no laboran nuestras agencias a nivel nacional y hoy solo era hasta las 16:00 en centros comerciales. AC°"
28,2019-12-28 22:54:46+00:00,BancoPacificoEC,"@watan7819 Hola Saverio, hemos asistido tu consulta por DM."
29,2019-12-28 22:54:09+00:00,BancoPacificoEC,"@XimenaO85182092 Hola Ximena, por seguridad no es recomendable que coloques tus datos personales de forma externa, en caso de tener una consulta escríbenos un mensaje directo y con gusto te ayudaremos. AC°"
30,2019-12-28 20:07:00+00:00,BancoPacificoEC,@LiamGio11 Gracias por tus comentarios Liam 🙂 AC°
31,2019-12-28 17:31:34+00:00,BancoPacificoEC,"@rommelnavarrete Hola buenas tardes, tu novedad será reportada con el área encargada, muchas gracias por la información. VR°"
32,2019-12-28 15:53:52+00:00,BancoPacificoEC,@DiegoMosqueraec Estamos revisando tu información por interno. VR°
33,2019-12-28 15:53:14+00:00,BancoPacificoEC,@borisarvaings Que tengas un excelente día 🙂. VR°
34,2019-12-28 15:20:20+00:00,BancoPacificoEC,"@borisarvaings Hola buenos días, Boris, podrías solicitar otro crédito, pero esto va a depender de la capacidad de pago que dispongas. VR°"
35,2019-12-28 14:32:28+00:00,BancoPacificoEC,"@DiegoMosqueraec Hola, por favor indícanos tu número de cédula, correo electrónico y requerimiento por interno para poder ayudarte.  ME*"
36,2019-12-28 14:06:17+00:00,BancoPacificoEC,¡Gracias por escuchar el programa 🎧#MiBancoBancoMeEnseña🎧! Los esperamos el próximo año en las radios asociadas a la @aernacional1📻 para seguir aprendiendo de la mano de nuestros expertos en #EducaciónFinanciera. ¡✨Les deseamos un feliz y prospero año 2020✨! https://t.co/MYO1tzhtJX
37,2019-12-28 13:48:30+00:00,BancoPacificoEC,"#MiBancoBancoMeEnseña 🎧🎙Recordamos los consejos más destacados del 2019 en #EducaciónFinanciera 🤓, entre ellos construir y cuidar nuestro historial crediticio. Evitemos los sobreendeudamientos y llevemos el control de nuestras responsabilidades financieras 💳. https://t.co/KKaAf6A0hH"
38,2019-12-28 13:30:34+00:00,BancoPacificoEC,"#MiBancoBancoMeEnseña 🎧🎙Hoy tenemos el gusto de compartir este espacio con el Economista Andrés Baquerizo, Vicepresidente Ejecutivo del @BancoPacificoEC, para profundizar sobre el desarrollo e importancia de la #EducaciónFinanciera en las instituciones del sector 💡💰. https://t.co/wpWvdmngg2"
39,2019-12-28 13:14:26+00:00,BancoPacificoEC,"#MiBancoBancoMeEnseña 🎧🎙Hablamos sobre la importancia de la #EducaciónFinanciera, esta radica en los conocimientos, habilidades, valores y hábitos que nos permiten gestionar nuestra economía de manera positiva y se deben formar desde temprana edad con buenos ejemplos en casa👪. https://t.co/lUHmSoboRH"
40,2019-12-28 12:51:40+00:00,BancoPacificoEC,Estamos listos para la última emisión del año del programa 🎧#MiBancoBancoMeEnseña 🎧. En esta edición especial recordaremos los principales temas de #EducaciónFinanciera de la temporada 2019 👨‍🎓👩‍🎓. Escúchanos en las radios asociadas a la @aernacional1 a partir de las 08:00 horas. https://t.co/wr3g2OvINt
41,2019-12-28 00:22:40+00:00,BancoPacificoEC,"@jeffersonarell6 Hola buenas noches, tu novedad será reportada con el área encargada, muchas gracias por la información. VR°"
42,2019-12-27 22:06:42+00:00,BancoPacificoEC,"@aryamni Hola buenas tardes, te solicitamos que por favor nos ayudes con tu información por interno para validar si la tarjeta se encuentra en la agencia, adicional te informamos que la entrega de la tarjeta es solo de lunes a viernes. VR°"
43,2019-12-27 20:46:13+00:00,BancoPacificoEC,"@alexmargary Gracias Alex, hemos reportado la novedad para su respectiva revisión. GG°"
44,2019-12-27 20:39:04+00:00,BancoPacificoEC,"@RosCarmigniani @Ginareinoso Reiteramos nuestras disculpas, tu caso está siendo atendido por interno. GG°"
45,2019-12-27 20:29:22+00:00,BancoPacificoEC,"@alexmargary Buenas tardes Alex, por favor detállanos por interno la dirección de la agencia en la cual te encuentras, para poder reportar la novedad. GG°"
46,2019-12-27 20:06:16+00:00,BancoPacificoEC,"@RosCarmigniani Buenas tardes, te pedimos disculpas por cualquier malestar ocasionado, detállanos por mensaje interno tus datos para poder verificar tu caso de inmediato. GG°"
47,2019-12-27 17:22:21+00:00,BancoPacificoEC,"En este feriado, al viajar por la #RutaDelSpondylus 🏖 estos son los puntos donde podrás encontrar nuestros #CajerosAutomáticos listos para atenderte y realizar todo tipo de transacciones. https://t.co/Q20wE3x7Ow"
48,2019-12-27 17:11:46+00:00,BancoPacificoEC,"@renaquitu Buenas tardes, te informamos que los permisos de la aplicación no son solicitados por nuestra entidad, sino por la configuración del dispositivo móvil. GG°"
49,2019-12-27 15:12:57+00:00,BancoPacificoEC,"@dmreinoso Buenos días Diego, lamentamos cualquier malestar ocasionado, por favor detállanos por interno tus datos personales, para poder notificar al área encargada. GG°"
50,2019-12-27 15:09:17+00:00,BancoPacificoEC,"@leonfajardo Buenos días Adrián, efectivamente puedes realizar el pago, escríbenos por interno para poder ayudarte con los pasos. GG°"
51,2019-12-27 15:06:11+00:00,BancoPacificoEC,"@alvalcor22 @BancoGuayaquil Hola, nuestras agencias atenderán con normalidad el día 30/Diciembre. GG°"
52,2019-12-27 02:32:25+00:00,BancoPacificoEC,"@andre_ukis Hola buenas noches, te ofrecemos disculpas por cualquier malestar presentado; adicional a esto, procederemos a enviar tus comentarios con el departamento encargado. AF°"
53,2019-12-27 01:01:41+00:00,BancoPacificoEC,"@GeorgeWHidalgo Hola buenas noches, te informamos que le puedes contactarte con Sophi al número 0967723442. AF°"
54,2019-12-26 23:59:05+00:00,BancoPacificoEC,"Si planeas viajar en 2020, consulta tus millas de forma sencilla y rápida chateando con nuestra #AgenteVirtualSophi a través de #FacebookMessenger y #WhatsApp, ¿ya sabes a dónde irás el próximo año? https://t.co/9hvi1uFOlG"
55,2019-12-26 20:22:26+00:00,BancoPacificoEC,"@GloPereiira Buenas tardes, te pedimos disculpas por el malestar ocasionado, detállanos por mensaje interno el tipo de pago que deseas efectuar junto a tus datos personales para poderte asistir. GG°"
56,2019-12-26 19:13:14+00:00,BancoPacificoEC,@mhandino Reiteramos nuestras disculpas por el malestar ocasionado. Nos encontramos atendiendo tu requerimiento. MM°
57,2019-12-26 19:09:49+00:00,BancoPacificoEC,"@mhandino De acuerdo, envíanos por interno tus datos para poder reportar este incidente. AC°"
58,2019-12-26 19:08:54+00:00,BancoPacificoEC,"@DrMcedeno Manuel, reiteramos nuestras disculpas por lo sucedido. AC°"
59,2019-12-26 19:07:46+00:00,BancoPacificoEC,"@judeheloss Hola Julia, por favor envíanos un mensaje directo con tu requerimiento y el error que te aparece en la página, para poder verificar tu caso. AC°"
60,2019-12-26 18:52:07+00:00,BancoPacificoEC,"@DrMcedeno Te ofrecemos disculpas por lo sucedido, sin embargo, el Banco del Pacífico únicamente realiza el cambio de divisas a clientes con una cuenta activa. AC°"
61,2019-12-26 18:49:18+00:00,BancoPacificoEC,"@mhandino Reiteramos nuestras disculpas, en este caso, podrías indicarnos la agencia y el día en el que desearías realizar la apertura de tu cuenta, para remitir tu caso y puedan darte prioridad al acercarte. AC°"
62,2019-12-26 18:41:23+00:00,BancoPacificoEC,"@DrMcedeno Hola Manuel, para realziar un cambio de divisas es necesario que tengas una cuenta en el Banco del Pacífico. AC°"
63,2019-12-26 18:40:14+00:00,BancoPacificoEC,"@willy_dicado Hola Wellington, la agencia del Dorado va a trabajar con normalidad. El horario de atención el sábado es de 10:00 a 16:00, únicamente ventanilla. AC°"
64,2019-12-26 18:19:50+00:00,BancoPacificoEC,"@mhandino Te agradecemos por la sugerencia, la misma será considerada para mejorar la calidad en nuestro servicio. AC°"
65,2019-12-26 18:05:02+00:00,BancoPacificoEC,"@mhandino Hola buenas tardes, lamentamos lo sucedido. Hemos enviado tu comentario al área encargada para su revisión, adicionalmente, te informamos que puedes solicitar una cuenta de ahorro descargando la App Onboard BdP desde tu celular. AC°"
66,2019-12-26 18:01:11+00:00,BancoPacificoEC,@Gustavo73496988 Por favor envíanos tu consulta por mensaje directo. AC°
67,2019-12-26 17:14:13+00:00,BancoPacificoEC,"@Gustavo73496988 Hola Gustavo, por favor contáctanos por mensaje interno y detállanos tu consulta. GG°"
68,2019-12-26 15:43:40+00:00,BancoPacificoEC,"@josuellnn Reiteramos nuestras disculpas Kevin, tu consulta está siendo atendida por interno. GG°"
69,2019-12-26 15:25:04+00:00,BancoPacificoEC,"@josuellnn Buenos días Kevin, lamentamos el malestar ocasionado, por favor detállanos por mensaje interno tu datos personales para poder verificar el estado del reclamo. GG°"
70,2019-12-26 15:10:53+00:00,BancoPacificoEC,"@pelusabus Buenos días Edgar, muchas gracias por tu comentario. GG°"
71,2019-12-26 15:00:00+00:00,BancoPacificoEC,"Validamos nuestro compromiso con la integridad y transparencia, al obtener la primera certificación ISO 37001 del Sistema de Gestión Antisoborno en todos nuestros productos y servicios a nivel nacional. https://t.co/0zzEXxsotM"
72,2019-12-26 13:20:44+00:00,BancoPacificoEC,"@LeonardoMorn10 Leonardo, detállanos tus datos por mensaje interno para poderte asistir. GG°"
73,2019-12-26 13:14:43+00:00,BancoPacificoEC,"@LeonardoMorn10 Buenos días Leonardo, por favor contáctanos por mensaje interno para poderte asistir de inmediato. GG°"
74,2019-12-26 12:14:54+00:00,BancoPacificoEC,"@RafaellaM95 Hola, por favor indícanos tu número de cédula, correo electrónico y requerimiento por interno para poder ayudarte. ME*"
75,2019-12-26 06:28:03+00:00,BancoPacificoEC,"@LlasagG hola, si registras bloqueo de intermatico por favor comunicate con servicios al cliente al 3731500 opcion 9 para que te puedan ayudar con el desbloqueo. GP*"
76,2019-12-25 13:00:00+00:00,BancoPacificoEC,"Es momento de dar gracias por todo lo hermoso que nos rodea, lo que nos llena y por los que nos inspiran a seguir.💙 #TuBancoBanco te desea una #FelizNavidad.🎄 https://t.co/yyyqb5YKqV"
77,2019-12-24 20:40:55+00:00,BancoPacificoEC,"@RonaldHidalgoR Hola Ronald, buenas tardes, por favor contáctanos por mensaje interno, con gusto atenderemos tu consulta. VR°"
78,2019-12-24 18:03:59+00:00,BancoPacificoEC,"@IsraelJB5 Buenas tardes Israel, nuestras #TarjetaDeRegaloParaTi pueden ser adquiridas en cualquiera de nuestras agencias. GG°"
79,2019-12-24 17:35:37+00:00,BancoPacificoEC,"@JSanperro Hola Javier, buenas tardes, te ofrecemos disculpas por el inconveniente presentado, ayúdanos detallando por interno lo sucedido, para poderte asistir inmediatamente. VR°"
80,2019-12-24 15:44:26+00:00,BancoPacificoEC,"@ernesto_cpz Buenos días, Ernesto, envíanos la imagen del mensaje que te refleja al acceder e indícanos tus datos personales por interno, para poder verificar. GG°"
81,2019-12-24 15:40:24+00:00,BancoPacificoEC,Conozca nuestros horarios de atención en agencias durante los feriados de Navidad y Fin de Año ⬇️ https://t.co/PzKfaNEJZH
82,2019-12-24 15:29:22+00:00,BancoPacificoEC,"@tigregalvez Buenos días Fernando, te pedimos disculpas por el malestar ocasionado, reportaremos la novedad para su respectiva revisión. GG°"
83,2019-12-24 15:16:40+00:00,BancoPacificoEC,"@danicalerom Buenos días Dani, por favor detállanos por mensaje interno tu consulta. con gusto te asistiremos. GG°"
84,2019-12-24 03:57:46+00:00,BancoPacificoEC,"@boriscoellar Boris, lamentamos mucho leer lo que nos detallas; te pedimos disculpas por el tiempo de respuesta del reclamo ingresado, hemos notificado nuevamente al área encargada para que nos ayuden con la resolución de tu caso en la brevedad posible. VR°"
85,2019-12-24 01:00:34+00:00,BancoPacificoEC,"Conoce nuestros horarios de atención en Navidad y Fin de Año, recuerda que tienes nuestros canales digitales disponibles 24/7 para realizar tus transacciones y consultas. https://t.co/Bi9Wf4r8Gm"
86,2019-12-24 00:52:29+00:00,BancoPacificoEC,"@DiegoPineda83 Hola buenas noches, tu consulta está siendo atendida por interno. VR°"
87,2019-12-24 00:52:03+00:00,BancoPacificoEC,"@watan7819 Hola buenas noches, te hemos dejado un mensaje por interno. VR°"
88,2019-12-23 23:32:30+00:00,BancoPacificoEC,"@PattyVillacisM Estamos para servirte, que tengas una excelente noche :). VR°"
89,2019-12-23 23:30:21+00:00,BancoPacificoEC,"@PattyVillacisM Hola buenas tardes, en agencias propias el horario de atención el área de Cajas y servicio al cliente es de 8:30 hasta las 16:00, en centros comerciales de 10:00 a 17:00 servicio al cliente, y de 10:00 a 19:00 cajas. VR°"
90,2019-12-23 22:08:38+00:00,BancoPacificoEC,"@boristorresa Hola buenas tardes, Boris, permítenos tu información por interno para poder verificar tu requerimiento. VR°"
91,2019-12-23 21:26:56+00:00,BancoPacificoEC,@Kurtingo13 Estamos para servirte. GG°
92,2019-12-23 21:24:38+00:00,BancoPacificoEC,"@Kurtingo13 Buenas tardes, nuestro contact center es 3731500 opción 9. GG°"
93,2019-12-23 21:04:30+00:00,BancoPacificoEC,"@boriscoellar @superbancosEC Boris, tu consulta está siendo atendida por interno. GG°"
94,2019-12-23 20:40:15+00:00,BancoPacificoEC,"@boriscoellar @superbancosEC Buenas tardes Boris, te pedimos disculpas por cualquier malestar generado, por favor detállanos por interno tu requerimiento junto a tus datos personales para poderte asistir de inmediato. GG°"
95,2019-12-23 19:40:35+00:00,BancoPacificoEC,"@franciscotomal3 Francisco, envíanos tus datos por mensaje interno para poder verificar el estado de la solicitud. GG°"
96,2019-12-23 19:23:50+00:00,BancoPacificoEC,"@franciscotomal3 Buenas tardes Francisco, por favor contáctanos por mensaje interno para ayudarte con tu consulta. GG°"
97,2019-12-23 14:57:12+00:00,BancoPacificoEC,"@monicacarriel Mónica, te confirmamos que tus cuentas han sido aprobadas. GG°"
98,2019-12-23 14:41:43+00:00,BancoPacificoEC,"@monicacarriel Buenos días Mónica, lamentamos el malestar ocasionado, hemos tomado contacto contigo por interno para poderte asistir con tu requerimiento. GG°"
99,2019-12-22 22:50:12+00:00,BancoPacificoEC,"¡Felicitamos a nuestro tenista @goescobar89🇪🇨quien terminó de manera invicta su participación en el Torneo Interclubes  de Argentina, donde representó al Club Comercio con el que obtuvo el vicecampeonato! 🎾🙌🏻 https://t.co/upPFIlOKVK"
100,2019-12-22 18:07:21+00:00,BancoPacificoEC,"@Erickardo2393 Buenas tardes Erick, lamentamos leer lo ocurrido; escríbenos por interno para poder reportar el inconveniente. GM°"
101,2019-12-22 17:48:51+00:00,BancoPacificoEC,¡Felicitamos al equipo de nuestro tenista 🇪🇨 @goescobar89 🎾 que logró clasificar a la final de Interclubes de Argentina! ¡Les deseamos el mejor de los éxitos! 💪🏻💪🏻💪🏻 https://t.co/bJpJc7P6Zw
102,2019-12-22 15:00:00+00:00,BancoPacificoEC,¿Se acerca #Navidad 🎄 y aún no sabes qué regalar?🎁 ¡Fácil!😄 El regalo que nunca falla es una #TarjetaDeRegaloParaTi.💳 Adquiérela en nuestras agencias a nivel nacional. https://t.co/Juc7Y2t00w
103,2019-12-21 21:36:01+00:00,BancoPacificoEC,"@Na_Re1 Hola Renata buenas tardes, te informamos que tu requerimiento está siendo atendido por interno. AF°"
104,2019-12-21 19:45:01+00:00,BancoPacificoEC,"@tahyt Hola buenas tardes, ayúdanos por favor con tu información por interno para poderte asistir. AF°"
105,2019-12-21 17:47:25+00:00,BancoPacificoEC,"@bryan_95fe Gracias por permitirnos ayudarte, que tengas un excelente día 🙂. VR°"
106,2019-12-21 16:40:47+00:00,BancoPacificoEC,"@bryan_95fe Hola buenos días, Bryan, el tiempo de acreditación es de 48 horas laborables. VR°"
